state,district,year,gwq,sdp
west bengal,24 paraganas north,2000,78.411766,247972.31111561856
west bengal,24 paraganas north,2002,98.555557,275199.53359278664
west bengal,24 paraganas north,2004,71.666664,310686.6999675226
west bengal,24 paraganas north,2005,54.861111,330248.80030542583
west bengal,24 paraganas north,2007,134.625,383881.49060919316
west bengal,24 paraganas north,2008,60.0,399354.5969692363
west bengal,24 paraganas north,2016,100.2,584911.0
west bengal,24 paraganas north,2017,78.07692,623787.0
west bengal,24 paraganas north,2018,75.126717,659288.0
west bengal,24 paraganas south,2000,189.64516,247972.31111561856
west bengal,24 paraganas south,2001,169.94737,265880.32837131777
west bengal,24 paraganas south,2002,226.64706,275199.53359278664
west bengal,24 paraganas south,2004,286.90909,310686.6999675226
west bengal,24 paraganas south,2005,213.74286,330248.80030542583
west bengal,24 paraganas south,2007,193.5,383881.49060919316
west bengal,24 paraganas south,2009,257.65714,430366.20743387047
west bengal,24 paraganas south,2010,296.625,456461.5424521131
west bengal,24 paraganas south,2011,352.92001,473205.0
west bengal,24 paraganas south,2012,263.30768,492901.0
west bengal,24 paraganas south,2013,177.96364,503952.0
west bengal,24 paraganas south,2016,255.11429,584911.0
west bengal,24 paraganas south,2017,276.57407,623787.0
west bengal,24 paraganas south,2018,293.66,659288.0
telangana,adilabad,2004,65.5,161790.06689829516
telangana,adilabad,2005,68.25,187774.5444577278
telangana,adilabad,2006,76.727272,208477.0974396334
telangana,adilabad,2007,80.5,229691.84931694498
telangana,adilabad,2008,164.58333,260994.69248203633
telangana,adilabad,2009,145.25,261701.24352747787
telangana,adilabad,2010,118.36364,307973.2512484278
telangana,adilabad,2011,141.72728,325139.0
telangana,adilabad,2012,55.666668,334205.0
telangana,adilabad,2013,96.63636,349593.0
telangana,adilabad,2014,102.72727,372897.0
telangana,adilabad,2015,124.66666,416892.0
telangana,adilabad,2016,145.375,455731.0
telangana,adilabad,2017,134.16667,498145.0
telangana,adilabad,2018,78.0,544441.0
uttar pradesh,agra,2000,799.5,351083.83971582167
uttar pradesh,agra,2002,263.25,369037.9006500751
uttar pradesh,agra,2004,598.40002,407921.1791392405
uttar pradesh,agra,2005,297.0,431731.25103797467
uttar pradesh,agra,2016,202.93871,888453.0
uttar pradesh,agra,2018,220.233,949184.0
gujarat,ahmadabad,2000,784.0,187486.06471907918
gujarat,ahmadabad,2001,868.09998,202722.52060396783
gujarat,ahmadabad,2002,1258.3077,220397.15650232672
gujarat,ahmadabad,2004,1417.1,272449.2629108957
gujarat,ahmadabad,2005,732.66669,311996.4362722108
gujarat,ahmadabad,2006,578.08331,338383.36050177214
gujarat,ahmadabad,2007,1115.5,378395.5156254638
gujarat,ahmadabad,2008,1135.3,394570.23835956375
gujarat,ahmadabad,2009,1090.7,450323.76586738543
gujarat,ahmadabad,2010,1359.4546,499605.5063968227
gujarat,ahmadabad,2011,1004.5333,532809.0
gujarat,ahmadabad,2012,1095.8889,596659.0
gujarat,ahmadabad,2013,985.83331,641489.0
gujarat,ahmadabad,2014,1050.9091,705629.0
gujarat,ahmadabad,2015,967.90002,774775.0
gujarat,ahmadabad,2016,587.40002,843930.0
gujarat,ahmadabad,2017,1041.7,946511.0
gujarat,ahmadabad,2018,465.375,1034399.0
maharashtra,ahmednagar,2000,171.44827,462182.04589375335
maharashtra,ahmednagar,2001,188.39999,478508.99779191246
maharashtra,ahmednagar,2002,173.89999,511507.57436596503
maharashtra,ahmednagar,2004,163.70589,599028.1154943785
maharashtra,ahmednagar,2005,228.27777,685815.41856348
maharashtra,ahmednagar,2006,186.42693,780279.5182740722
maharashtra,ahmednagar,2007,218.72707,871096.2491881064
maharashtra,ahmednagar,2008,233.78659,884779.143581586
maharashtra,ahmednagar,2009,214.52499,970264.8556553777
maharashtra,ahmednagar,2012,185.47826,1189711.0
maharashtra,ahmednagar,2013,248.16667,1267551.0
maharashtra,ahmednagar,2014,179.86667,1345341.0
maharashtra,ahmednagar,2015,140.47368,1452513.0
maharashtra,ahmednagar,2016,127.46667,1596121.0
maharashtra,ahmednagar,2017,134.20111,1661065.0
maharashtra,ahmednagar,2018,136.76103,1728578.0
rajasthan,ajmer,2000,896.89288,174261.4982756208
rajasthan,ajmer,2001,626.48389,194105.22164539358
rajasthan,ajmer,2002,698.40912,170786.6612538214
rajasthan,ajmer,2004,502.17242,219623.783673409
rajasthan,ajmer,2005,246.81818,234376.38095379015
rajasthan,ajmer,2006,325.66666,261962.91892931657
rajasthan,ajmer,2007,946.81818,273897.97681369574
rajasthan,ajmer,2008,508.0625,296931.6051077934
rajasthan,ajmer,2009,664.34485,314236.5616057293
rajasthan,ajmer,2010,375.45456,361436.6835150852
rajasthan,ajmer,2011,668.5,395331.0
rajasthan,ajmer,2012,604.88464,409802.0
rajasthan,ajmer,2013,802.0,434292.0
rajasthan,ajmer,2014,407.4762,465408.0
rajasthan,ajmer,2015,689.44446,501922.0
rajasthan,ajmer,2016,703.0,529650.0
rajasthan,ajmer,2017,674.5,557618.0
rajasthan,ajmer,2018,669.94739,568102.0
maharashtra,akola,2000,403.59091,462182.04589375335
maharashtra,akola,2001,264.85715,478508.99779191246
maharashtra,akola,2002,152.0,511507.57436596503
maharashtra,akola,2004,169.3158,599028.1154943785
maharashtra,akola,2005,318.36365,685815.41856348
maharashtra,akola,2006,200.69231,780279.5182740722
maharashtra,akola,2007,371.01233,871096.2491881064
maharashtra,akola,2008,238.95938,884779.143581586
maharashtra,akola,2009,162.61539,970264.8556553777
maharashtra,akola,2013,205.61539,1267551.0
maharashtra,akola,2014,196.1579,1345341.0
maharashtra,akola,2015,129.92857,1452513.0
maharashtra,akola,2016,104.42857,1596121.0
maharashtra,akola,2017,120.88449,1661065.0
maharashtra,akola,2018,158.04053,1728578.0
kerala,alappuzha,2000,41.060001,147973.5597433169
kerala,alappuzha,2001,58.163158,155366.47487904064
kerala,alappuzha,2002,42.055557,166734.581417683
kerala,alappuzha,2004,51.48,194266.89820535283
kerala,alappuzha,2005,40.433334,214150.44230280077
kerala,alappuzha,2006,33.299999,231069.25430291382
kerala,alappuzha,2007,35.278126,251690.7367210242
kerala,alappuzha,2008,31.505882,267167.04617471667
kerala,alappuzha,2009,40.791668,291324.3285363027
kerala,alappuzha,2010,44.443245,309967.46877313964
kerala,alappuzha,2011,32.094116,328021.0
kerala,alappuzha,2012,54.7425,348616.0
kerala,alappuzha,2013,44.029999,364707.0
kerala,alappuzha,2014,24.086206,382134.0
kerala,alappuzha,2015,26.492592,411150.0
kerala,alappuzha,2016,29.068966,443615.0
kerala,alappuzha,2017,41.299999,473182.0
kerala,alappuzha,2018,41.353657,510787.0
uttar pradesh,aligarh,2000,230.5,351083.83971582167
uttar pradesh,aligarh,2002,133.28572,369037.9006500751
uttar pradesh,aligarh,2004,663.59998,407921.1791392405
uttar pradesh,aligarh,2005,253.0,431731.25103797467
uttar pradesh,aligarh,2016,135.88667,888453.0
uttar pradesh,aligarh,2018,219.78999,949184.0
west bengal,alipurduar,2000,41.75,247972.31111561856
west bengal,alipurduar,2001,21.6,265880.32837131777
west bengal,alipurduar,2002,25.200001,275199.53359278664
west bengal,alipurduar,2004,43.833332,310686.6999675226
west bengal,alipurduar,2005,30.5,330248.80030542583
west bengal,alipurduar,2006,32.0,356170.8313006164
west bengal,alipurduar,2008,27.525,399354.5969692363
west bengal,alipurduar,2009,27.299999,430366.20743387047
west bengal,alipurduar,2011,32.0,473205.0
west bengal,alipurduar,2012,20.666666,492901.0
west bengal,alipurduar,2013,55.333332,503952.0
west bengal,alipurduar,2016,55.888889,584911.0
west bengal,alipurduar,2017,30.0,623787.0
west bengal,alipurduar,2018,39.993752,659288.0
madhya pradesh,alirajpur,2000,197.0,142623.92245088037
madhya pradesh,alirajpur,2001,253.71428,152826.6075400632
madhya pradesh,alirajpur,2002,157.66667,144856.76138662823
madhya pradesh,alirajpur,2004,133.14285,166392.43950471698
madhya pradesh,alirajpur,2006,191.44444,190708.6450176887
madhya pradesh,alirajpur,2007,205.72728,199720.87510613207
madhya pradesh,alirajpur,2008,80.333336,224971.10261792454
madhya pradesh,alirajpur,2009,138.0,246297.10579599056
madhya pradesh,alirajpur,2010,113.11111,259230.23037146227
madhya pradesh,alirajpur,2011,81.166664,282371.0
madhya pradesh,alirajpur,2012,134.66667,306853.0
madhya pradesh,alirajpur,2013,201.25,322598.0
madhya pradesh,alirajpur,2014,137.27272,339247.0
madhya pradesh,alirajpur,2015,81.0,370716.0
madhya pradesh,alirajpur,2016,154.7,419465.0
madhya pradesh,alirajpur,2017,145.41667,441956.0
madhya pradesh,alirajpur,2018,108.2,482361.0
uttarakhand,almora,2008,14.0,71643.38818533404
uttarakhand,almora,2009,28.0,83904.18063244104
